# image-id: battle-overlay
# annotated_functions/total_functions: 862/862
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots.
# sha256: 1830b4ef1fe37129972fc310dfad534f8161d6c0b123e74254c3711334a3e291
# load-address: 0x8006faf0
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: battle-image
# format: address, note

0x80070E2C, function start — BattleEventOverlayLoad; conditionally loads and enters the separate Battle Event overlay.
0x800744BC, function start — BattleDrawChiMenuSecondaryDescriptionPair; submits the two current-buffer packets for the chi-menu secondary description layer.
0x80074554, function start — BattleDrawChiMenuPrimaryDescriptionPair; submits the two current-buffer packets for the chi-menu primary description layer.
0x800745EC, function start — BattleDrawActiveChiMenuComposition; selects and submits the enabled chi-menu cost, selection, description, and detail packet groups for the active menu state.
0x80074AB8, function start — BattleDrawOverallUi; draws enabled overall Battle UI and result groups.
0x80074D4C, function start — BattleDrawTargetSelectionCursor; pulses and draws directional target cursors.
0x80074EEC, function start — BattleDrawDeathblowFlashPolys; draws three deathblow flash primitive arrays.
0x80074F70, function start — BattleDrawDialogPortraitAndText; draws the active portrait and dialog text.
0x8007500C, function start — BattleDrawMonsterNames; positions and submits active monster-name strips.
0x80075168, function start — BattleUpdateApAndFuelBarGeometry; updates party AP and fuel bar widths, positions, and threshold-dependent colors.
0x80075938, function start — BattleUpdateStatusGaugePolys; updates party HP, AP, and fuel gauge geometry.
0x80076418, function start — BattleRenderFrameAndUi; dispatches per-frame Battle rendering and UI stages.
0x80076454, call site — per-frame Battle rendering invokes BattleStageActionLines.
0x8007645C, return site — resumes after staging Battle UI lines.
0x800764B4, function start — BattleDrawMode0Ui; renders the Battle result-mode composition.
0x800764EC, function start — BattleDrawMode2Ui; renders the Battle cutscene-mode composition.
0x80076544, function start — BattleDrawFromModes; dispatches result, gameplay, or cutscene rendering.
0x800765C4, function start — BattleBeginTurnTimeBarTransition; initializes a party time bar's movement, scaling, rotation, and completion state for its turn transition.
0x80076710, function start — BattleAdvanceTurnTimeBarTransition; advances the active time bar transition, rebuilds its glyph packets, updates scale and rotation, and marks arrival at the target.
0x800769E8, function start — BattleUploadTextureRectAndSync; uploads a rectangular texture region to VRAM and waits for drawing to complete.
0x80076A10, function start — BattleBuildFullScaleTextGlyphPackets; builds current-buffer text glyph packets at full scale and returns the generated packet count.
0x80076A6C, function start — BattleBuildHalfScaleTextGlyphPackets; builds current-buffer text glyph packets at half scale and returns the generated packet count.
0x80076AC8, function start — BattleEnableSemitransparentUnshadedPacket; enables semitransparency and disables texture shading on a packet.
0x80076B00, function start — BattleConfigureDialogBorderBlendPacket; configures a dialog-border packet with neutral color and the selected normal or subtractive blend mode.
0x80076B68, function start — BattleConfigureAdditiveBrightTextPacket; configures a semitransparent unshaded text packet with neutral-bright color and additive blending.
0x80076BAC, function start — BattleConfigureAdditiveDimTextPacket; configures a semitransparent unshaded text packet with dim color and additive blending.
0x80076BF0, function start — BattleConfigureSubtractiveBrightTextPacket; configures a semitransparent unshaded text packet with neutral-bright color and subtractive blending.
0x80076C34, function start — BattleConfigureSubtractiveDimTextPacket; configures a semitransparent unshaded text packet with dim color and subtractive blending.
0x80076C78, function start — BattleSetTextStripPacketBounds; assigns a packet's screen and texture coordinates for a 13-pixel-high text strip.
0x80076CE8, function start — BattleSetTextRectanglePacketBounds; assigns a packet's screen and texture coordinates for an arbitrary rectangular text region.
0x80076D58, function start — BattleInitializeChiMenuPacketPair; initializes both buffers of a chi-menu texture packet pair with palette and texture-page selection.
0x80076EA4, function start — BattleLoadChiMenuTargetLabelTextures; renders and uploads eleven target labels and ten digit glyphs while recording their texture positions and widths.
0x80077074, function start — BattleInitializeChiMenuPacketStorage; clears chi-menu visibility flags and initializes all eighteen double-buffered texture packet groups.
0x80077364, function start — BattleSetupDialogWindowTexturePolys; initializes textured dialog-border polygons.
0x80077454, function start — BattleSetupDialogWindow; initializes dialog background, draw modes, and borders.
0x80077610, function start — BattleAllocateChiMenuPacketStorage; allocates and clears chi-menu packet storage, then initializes every packet group.
0x8007765C, function start — BattleReleaseChiMenuPacketStorage; advances one Battle frame and releases the chi-menu packet allocation.
0x80077698, function start — BattleInitializeDirectionalTargetCursor; initializes four double-buffered directional cursor triangles, their colors, fade state, and visibility.
0x80077980, function start — BattleHideDirectionalTargetCursor; disables directional target-cursor rendering.
0x80077990, function start — BattleInitializeUiTexturePagesAndDrawModes; initializes scrolling text upload regions, menu-border texture metrics, texture rectangles, and paired draw-mode packets.
0x800780A8, function start — BattleInitializeMonsterNamePacketPair; initializes both monster-name packets with neutral color, alternating palette, texture row, and hidden state.
0x8007819C, function start — BattleSetupMonsterNameUi; initializes monster-name windows and VRAM slots.
0x80078310, function start — BattleUploadPartyPortraitTextures; loads and uploads palette and image data for each present party portrait at its assigned VRAM coordinates.
0x80078508, function start — BattleInitializeEntityReadinessCounters; computes readiness counters for occupied slots, marks empty slots unavailable, and clears ready, half-speed, and auxiliary state.
0x800785D4, function start — BattleFinalizeScriptActionRecord; stores the acting entity and script-context value in the current action record and advances the record count.
0x80078658, function start — BattleQueueShowMonsterNameAction; renders and uploads a scripted monster name, then queues a show-name action referencing its texture slot.
0x800787E0, function start — BattleQueueStatusEffectAction; queues a scripted status-effect action with its acting entity and low-byte effect value.
0x8007887C, function start — BattleQueueHideMonsterNameAction; queues a hide-name action for the most recently allocated monster-name texture slot.
0x8007893C, function start — BattleStageEnemyNameDisplay; when the action has a name token, queues name display, a 30-tick delay, and name removal.
0x80078998, function start — BattleExecuteEnemyScriptAttack; stages any name display, computes and applies the scripted attack, records its animation and actual hit mask, and corrects a preceding movement target mask.
0x80078B34, function start — BattleStageEnemyMoveAttack; queues movement toward the selected target, initializes character or Gear approach motion unless suppressed, expands camera visibility, and finalizes the action entry.
0x80078C9C, function start — BattleStageEnemyActorCommand; queues marker 0xFC with the context payload used to replace the actor's active command.
0x80078CEC, function start — BattleStageEnemyAnimation; queues the selected animation number with its actor and context payload.
0x80078D48, function start — BattleSetDeferredEnemyTurnMask; stores the scripted target mask for deferred enemy-turn processing.
0x80078D6C, function start — BattleStageEnemyDespawn; queues marker 0xF9, marks the actor unavailable, enables its enemy status entry, and clears its combat flags except bit 15.
0x80078E24, function start — BattleCloneEnemyIntoSlot; copies identity, scripts, status, and combat state from the first entity in the context mask into the destination enemy slot, then queues marker 0xFB.
0x80079054, function start — BattleSetEntityByteAttribute; writes the context byte value to the selected 8-bit combat attribute.
0x80079098, function start — BattleAddEntityByteAttribute; adds the context byte to the selected 8-bit combat attribute with modulo-256 wrapping.
0x80079114, function start — BattleSetEntityWordAttribute; writes the context word value to the selected 16-bit combat attribute.
0x8007916C, function start — BattleAddEntityWordAttribute; adds the context word to the selected 16-bit combat attribute with modulo-65536 wrapping.
0x800791FC, function start — BattleStageEnemyExtendedAnimation; stages any name display and queues marker 0xF4 with a packed extended-animation identifier.
0x80079270, function start — BattleStageEnemyCameraMask; queues marker 0xF6 carrying the scripted target mask for camera visibility and the associated context payload.
0x800792F8, function start — BattleHandleInvalidEnemyActionType; clears all pending action markers and, when diagnostics are enabled, repeatedly renders a language and actor error screen.
0x800793F0, function start — BattleExecuteScriptedActions; converts enemy-script actions into Battle operations.
0x80079674, function start — BattleStageEnemyReturnAndSequenceEnd; conditionally appends a Gear pre-end marker, writes the terminal return marker, and clears action completion state.
0x80079778, function start — BattleMonsterJumpToTarget; runs a staged enemy attack and waits for completion.
0x80079840, function start — BattleUpdateMonsterScriptAttackVars; records attack results in enemy script state.
0x80079934, function start — BattleAdvanceEnemyScript; advances an enemy script by one instruction.
0x80079948, function start — BattleSkipEnemyScriptConditionalBlock; skips chained false condition blocks.
0x800799C8, function start — BattleExecuteMonsterTurnScript; interprets an enemy's normal turn script.
0x80079AB0, function start — BattleExecuteMonsterAttackedScript; executes an enemy counter or attacked script.
0x80079C24, function start — BattleExecuteMonsterEndTurnScripts; runs eligible enemy end-of-turn scripts.
0x80079E18, function start — BattleShowMonsterNameSlot; enables shared monster-name display state and marks the selected name slot visible.
0x80079E4C, function start — BattleHideMonsterNameSlot; disables shared monster-name display state and marks the selected name slot hidden.
0x80079E7C, function start — BattleFindFirstEntityInTargetMask; returns the first entity index present in an 11-slot mask, or 11 when the mask is empty.
0x80079ED8, function start — BattleAccessEntityByteAttribute; reads or writes one of 24 selector-mapped 8-bit combat attributes for an entity.
0x8007A280, function start — BattleAccessEntityWordAttribute; reads or writes one of 24 selector-mapped 16-bit combat attributes for an entity.
0x8007A628, function start — BattleEnemyScriptIsVisibleTargetValid; accepts an occupied, visually included entity without blocking lifecycle flags and optionally permits the secondary untargetable status.
0x8007A6C8, function start — BattleEnemyScriptIsOccupiedTargetValid; accepts an occupied entity without blocking lifecycle flags and optionally permits the secondary untargetable status regardless of visual exclusion.
0x8007A744, function start — BattleEnemyScriptIsLivingVisibleEntity; accepts an occupied, visually included entity whose two high lifecycle flags are clear.
0x8007A7BC, function start — BattleEnemyScriptAppendRawAction; appends an action entry marked 0x80, copies all four current script bytes into it, and increments the action count.
0x8007A828, function start — BattleEnemyScriptWriteActionByte; writes an immediate byte to the selected field of the current action entry and advances the entry count when writing its type field.
0x8007A874, function start — BattleEnemyScriptCopyByteVariableToAction; copies a selected enemy byte variable into the selected field of the current action entry.
0x8007A8B4, function start — BattleEnemyScriptCopyActionEntry; copies all eight bytes of one indexed action entry into another.
0x8007A900, function start — BattleEnemyScriptSetByteVariableImmediate; writes an 8-bit immediate to the selected enemy byte variable.
0x8007A92C, function start — BattleEnemyScriptSetWordVariableImmediate; writes a little-endian 16-bit immediate to the selected enemy word variable.
0x8007A968, function start — BattleEnemyScriptSetFixedPointVariableImmediate; stores a little-endian 16-bit immediate shifted left four bits in the selected enemy 32-bit variable.
0x8007A9A8, function start — BattleEnemyScriptSetSharedWordImmediate; zero-extends an 8-bit immediate into the selected shared 16-bit script variable.
0x8007A9D0, function start — BattleEnemyScriptAddByteImmediateSaturating; adds an immediate to the selected enemy byte variable and clamps the result to 255.
0x8007AA1C, function start — BattleEnemyScriptSubtractByteImmediateSaturating; subtracts an immediate from the selected enemy byte variable and clamps the result to zero.
0x8007AA60, function start — BattleEnemyScriptMultiplyByteImmediateSaturating; multiplies the selected enemy byte variable by an immediate and clamps the result to 255.
0x8007AAB8, function start — BattleEnemyScriptDivideByteByImmediate; divides the selected enemy byte variable by an unsigned 8-bit immediate.
0x8007AAF4, function start — BattleEnemyScriptModuloByteByImmediate; replaces the selected enemy byte variable with its remainder modulo an unsigned 8-bit immediate.
0x8007AB30, function start — BattleEnemyScriptAndByteWithImmediate; applies an 8-bit immediate mask to the selected enemy byte variable.
0x8007AB68, function start — BattleEnemyScriptOrByteWithImmediate; sets immediate-selected bits in the selected enemy byte variable.
0x8007ABA0, function start — BattleEnemyScriptXorByteWithImmediate; toggles immediate-selected bits in the selected enemy byte variable.
0x8007ABD8, function start — BattleEnemyScriptAddWordImmediateSaturating; adds a 16-bit immediate to the selected enemy word variable and clamps the result to 65535.
0x8007AC30, function start — BattleEnemyScriptSubtractWordImmediateSaturating; subtracts a 16-bit immediate from the selected enemy word variable and clamps the result to zero.
0x8007AC80, function start — BattleEnemyScriptMultiplyWordImmediateSaturating; multiplies the selected enemy word variable by a 16-bit immediate and clamps the result to 65535.
0x8007ACDC, function start — BattleEnemyScriptDivideWordByImmediate; divides the selected enemy word variable by an unsigned little-endian 16-bit immediate.
0x8007AD24, function start — BattleEnemyScriptModuloWordByImmediate; replaces the selected enemy word variable with its remainder modulo an unsigned little-endian 16-bit immediate.
0x8007AD6C, function start — BattleEnemyScriptAndWordWithImmediate; applies a little-endian 16-bit immediate mask to the selected enemy word variable.
0x8007ADB0, function start — BattleEnemyScriptOrWordWithImmediate; sets immediate-selected bits in the selected enemy word variable.
0x8007ADF4, function start — BattleScriptXorWordImmediate; xors an indexed 16-bit local with a little-endian 16-bit immediate.
0x8007AE38, function start — BattleScriptAddByteRegistersSaturating; adds two indexed 8-bit locals into an indexed destination and clamps the result to 255.
0x8007AE98, function start — BattleScriptSubtractByteRegistersClamped; subtracts one indexed 8-bit local from another into an indexed destination and clamps negative results to zero.
0x8007AEF0, function start — BattleScriptMultiplyByteRegistersWithClampQuirk; multiplies two indexed 8-bit locals, stores products below 256, clamps products from 256 through 32767 to 255, and stores the low byte for larger products.
0x8007AF5C, function start — BattleScriptDivideByteRegisters; divides one indexed 8-bit local by another and stores the quotient in an indexed 8-bit destination.
0x8007AFAC, function start — BattleScriptModuloByteRegisters; divides one indexed 8-bit local by another and stores the remainder in an indexed 8-bit destination.
0x8007AFFC, function start — BattleScriptAndByteRegisters; stores the bitwise AND of two indexed 8-bit locals in an indexed destination.
0x8007B040, function start — BattleScriptOrByteRegisters; stores the bitwise OR of two indexed 8-bit locals in an indexed destination.
0x8007B084, function start — BattleScriptXorByteRegisters; stores the bitwise XOR of two indexed 8-bit locals in an indexed destination.
0x8007B0C8, function start — BattleScriptAddWordRegistersSaturating; adds two indexed 16-bit locals into an indexed destination and clamps the result to 65535.
0x8007B134, function start — BattleScriptSubtractWordRegistersClamped; subtracts one indexed 16-bit local from another into an indexed destination and clamps negative results to zero.
0x8007B198, function start — BattleScriptMultiplyWordRegistersWithClampQuirk; multiplies two indexed 16-bit locals, stores products below 65536, clamps products through 2147483647 to 65535, and stores the low word for larger products.
0x8007B208, function start — BattleScriptDivideWordRegisters; divides one indexed 16-bit local by another and stores the quotient in an indexed 16-bit destination.
0x8007B264, function start — BattleScriptModuloWordRegisters; divides one indexed 16-bit local by another and stores the remainder in an indexed 16-bit destination.
0x8007B2C0, function start — BattleScriptAndWordRegisters; stores the bitwise AND of two indexed 16-bit locals in an indexed destination.
0x8007B310, function start — BattleScriptOrWordRegisters; stores the bitwise OR of two indexed 16-bit locals in an indexed destination.
0x8007B360, function start — BattleScriptXorWordRegisters; stores the bitwise XOR of two indexed 16-bit locals in an indexed destination.
0x8007B3B0, function start — BattleScriptSetSelfBytePropertyImmediate; writes an immediate byte to the selected byte property of the executing enemy combatant.
0x8007B3E4, function start — BattleScriptSetSelfWordPropertyImmediate; writes a little-endian 16-bit immediate to the selected word property of the executing enemy combatant.
0x8007B424, function start — BattleScriptReadSelectedByteProperty; reads a selected byte property from the lowest-index combatant in a local target mask and stores it in an indexed 8-bit local.
0x8007B4B8, function start — BattleScriptWriteSelectedByteProperty; writes an indexed 8-bit local to a selected property of the lowest-index masked enemy, or sets the first pending action type to 0x20 and advances the action cursor when a party member is selected.
0x8007B578, function start — BattleScriptReadSelectedWordProperty; reads a selected word property from the lowest-index combatant in a local target mask and stores it in an indexed 16-bit local.
0x8007B608, function start — BattleScriptWriteSelectedWordProperty; writes an indexed 16-bit local to a selected property of the lowest-index masked enemy, or sets the first pending action type to 0x20 and advances the action cursor when a party member is selected.
0x8007B6C0, function start — BattleScriptLoadGearHpOrBattleGlobal; copies the selected combatant's current Gear HP for source mode 1 or the shared battle value for source mode 2 into an indexed 32-bit local, leaving it unchanged for other modes.
0x8007B7B0, function start — BattleScriptWriteSelectedGearHp; writes an indexed 32-bit local to the selected enemy's maximum Gear HP for mode zero or current Gear HP otherwise, while party targets instead set pending action type 0x20 and advance the action cursor.
0x8007B8D4, function start — BattleScriptLoadGameStateWord; copies an indexed word from the battle game-state mirror into an indexed 16-bit local.
0x8007B914, function start — BattleScriptStoreGameStateWord; copies an indexed 16-bit local into an indexed word of the battle game-state mirror.
0x8007B958, function start — BattleScriptCopyByteRegister; copies one indexed 8-bit local to another.
0x8007B98C, function start — BattleScriptCopyWordRegister; copies one indexed 16-bit local to another.
0x8007B9C8, function start — BattleScriptCopyDwordRegister; copies one indexed 32-bit local to another.
0x8007BA04, function start — BattleScriptWidenByteToWord; zero-extends an indexed 8-bit local into an indexed 16-bit local.
0x8007BA44, function start — BattleScriptWidenWordToDword; zero-extends an indexed 16-bit local into an indexed 32-bit local.
0x8007BA88, function start — BattleScriptClearByteRegisters; clears all sixteen 8-bit locals for the executing enemy.
0x8007BAB8, function start — BattleScriptClearWordRegisters; clears all eight 16-bit locals for the executing enemy.
0x8007BAE8, function start — BattleScriptSetSelfRuntimeScalar; zero-extends a 16-bit immediate into the executing enemy's 32-bit runtime scalar at offset 0x14C.
0x8007BB2C, function start — BattleScriptSetSelfRuntimeVectorTail; writes a 16-bit immediate to the executing enemy's runtime word at offset 0x156.
0x8007BB70, function start — BattleScriptSetSelfRuntimeVectorHighBytes; writes the three operand bytes in reverse order to the high bytes of the runtime words at offsets 0x150, 0x152, and 0x154.
0x8007BBD8, function start — BattleScriptSetSelfRuntimeVectorLowBytes; writes the three operand bytes in reverse order to the low bytes of the runtime words at offsets 0x150, 0x152, and 0x154.
0x8007BC40, function start — BattleScriptWriteActionRecordWord; writes a little-endian 16-bit immediate at the selected byte offset within the current eight-byte action record.
0x8007BC84, function start — BattleScriptRandomizeByteRegister; stores a uniformly distributed value from zero through an immediate 8-bit maximum in an indexed 8-bit local.
0x8007BCE8, function start — BattleScriptRandomizeWordRegister; stores a uniformly distributed value from zero through a little-endian 16-bit maximum in an indexed 16-bit local.
0x8007BD5C, function start — BattleScriptSelectRandomOnFootPartyTarget; stores the target mask of a random eligible on-foot party combatant, or zero when none qualifies.
0x8007BEA8, function start — BattleScriptSelectRandomSameRowPartyTarget; stores the target mask of a random eligible on-foot party combatant in the executing enemy's row, or zero when none qualifies.
0x8007C040, function start — BattleScriptSelectRandomSameRowEnemyTarget; stores the target mask of a random eligible on-foot enemy combatant in the executing enemy's row, or zero when none qualifies.
0x8007C1A4, function start — BattleScriptSelectRandomDifferentRowPartyTarget; stores the target mask of a random eligible on-foot party combatant outside the executing enemy's row, or zero when none qualifies.
0x8007C33C, function start — BattleScriptSelectRandomDifferentRowEnemyTarget; stores the target mask of a random eligible on-foot enemy combatant outside the executing enemy's row, or zero when none qualifies.
0x8007C4A0, function start — BattleScriptSelectLowestReadinessPartyTarget; stores the target mask of the eligible party combatant with the lowest readiness timer, favors the highest slot on ties, and yields slot zero's mask when none qualifies.
0x8007C580, function start — BattleEnemyScriptSelectOtherEnemyWithShortestReadyDelay; stores the target mask of the eligible enemy with the shortest readiness delay, excluding the acting enemy, with ties favoring the highest slot and no match falling back to slot 0.
0x8007C678, function start — BattleEnemyScriptSelectPartyMemberWithLowestHp; stores the target mask of the eligible party member with the lowest current HP, with ties favoring the highest slot and no match falling back to slot 0.
0x8007C75C, function start — BattleEnemyScriptSelectEnemyWithLowestHp; stores the target mask of the eligible enemy with the lowest current HP, with ties favoring the highest slot and no match falling back to slot 0.
0x8007C840, function start — BattleEnemyScriptSelectRandomGearPartyMemberInSameRow; stores a random eligible Gear party member sharing the acting enemy's formation row, or zero when none qualifies.
0x8007C9D4, function start — BattleEnemyScriptSelectRandomGearPartyMember; stores a random eligible Gear party member's target mask, or zero when none qualifies.
0x8007CB20, function start — BattleEnemyScriptSelectRandomGearEnemy; stores a random eligible Gear enemy's target mask, or zero when none qualifies.
0x8007CC50, function start — BattleEnemyScriptCountTargetablePartyMembersInRow; stores the number of targetable party members occupying the specified formation row.
0x8007CD10, function start — BattleEnemyScriptCountTargetableEnemiesInRow; stores the number of targetable enemies occupying the specified formation row.
0x8007CDD0, function start — BattleEnemyScriptLoadSelectedTargetRowRestriction; finds the first entity in a stored target mask and loads the row-pair targeting restriction between it and the acting enemy.
0x8007CEA4, function start — BattleEnemyScriptCountPartyMembersInSelectedEntityRow; counts targetable party members sharing the formation row of the first entity in a stored target mask.
0x8007CFB8, function start — BattleEnemyScriptCountEnemiesInSelectedEntityRow; counts targetable enemies sharing the formation row of the first entity in a stored target mask.
0x8007D0CC, function start — BattleEnemyScriptLoadInventoryItemQuantity; scans 48 inventory entries for the specified item identifier and stores its quantity, or zero when absent.
0x8007D148, function start — BattleEnemyScriptCopyWordVariableToActionRecord; copies a selected 16-bit script variable into two consecutive bytes of the current action record.
0x8007D1A8, function start — BattleEnemyScriptLoadCurrentGold; copies the current gold total into a selected 32-bit script variable.
0x8007D1DC, function start — BattleEnemyScriptSelectRandomActiveCombatantInRow; stores a random active combatant's target mask from the specified formation row, or zero when none qualifies.
0x8007D30C, function start — BattleEnemyScriptLoadEnemyControlCode; copies the acting enemy's indexed control code into a selected 32-bit script variable.
0x8007D344, function start — BattleEnemyScriptSelectRandomHiddenEnemy; stores a random targetable enemy whose visual-state high bit is set, or zero when none qualifies.
0x8007D478, function start — BattleEnemyScriptSelectRandomDefeatedPartyMember; stores a random party member marked defeated but not removed or otherwise excluded, or zero when none qualifies.
0x8007D5B0, function start — BattleEnemyScriptCountUndefeatedPartySlots; counts party slots whose primary status has neither defeated nor removed high bit set.
0x8007D610, function start — BattleEnemyScriptCountActiveVisibleEnemies; counts filled enemy slots with neither primary high status bit set and with a zero visual-state byte.
0x8007D6A8, function start — BattleEnemyScriptSelectGearPartyMemberWithLowestHp; stores the target mask of the eligible Gear party member with the lowest 32-bit Gear HP, with ties favoring the highest slot and no match falling back to slot 0.
0x8007D7B4, function start — BattleEnemyScriptSelectGearEnemyWithLowestHp; stores the target mask of the eligible Gear enemy with the lowest 16-bit base HP, with ties favoring the highest slot and no match falling back to slot 0.
0x8007D8C0, function start — BattleEnemyScriptSelectRandomPartyMemberMatchingAttributeMask; stores a random targetable party member whose selected combat attribute intersects a stored mask, or zero when none qualifies.
0x8007DA1C, function start — BattleEnemyScriptSelectRandomEnemyMatchingAttributeMask; stores a random targetable enemy whose selected combat attribute intersects a stored mask, or zero when none qualifies.
0x8007DB78, function start — BattleEnemyScriptSelectRandomGearPartyMemberMatchingAttributeMask; stores a random targetable Gear party member whose selected combat attribute intersects a stored mask, or zero when none qualifies.
0x8007DCF8, function start — BattleEnemyScriptSelectRandomGearEnemyMatchingAttributeMask; stores a random targetable Gear enemy whose selected combat attribute intersects a stored mask, or zero when none qualifies.
0x8007DE78, function start — BattleEnemyScriptSelectRandomPartyMemberMatchingAttributeMaskIgnoringRestrictions; stores a random active party member whose selected combat attribute intersects a stored mask while ignoring the usual target-restriction bit, or zero when none qualifies.
0x8007DFD4, function start — BattleEnemyScriptSelectRandomGearPartyMemberMatchingAttributeMaskIgnoringRestrictions; stores a random active Gear party member whose selected combat attribute intersects a stored mask while ignoring the usual target-restriction bit, or zero when none qualifies.
0x8007E154, function start — BattleEnemyScriptSetSelfVisualStateAndFormationOccupancy; stores the requested visual-state byte for the acting enemy, removing its formation occupancy when the high bit is clear and retaining it when the high bit is set.
0x8007E1D0, function start — BattleEnemyScriptStoreSelfTargetMask; stores the acting enemy's own target mask in a selected 16-bit script variable.
0x8007E234, function start — BattleEnemyScriptBuildPartyTargetMaskByGearMode; builds a mask of active party members filtered to Gears, non-Gears, or either form according to the requested mode.
0x8007E334, function start — BattleEnemyScriptBuildEnemyTargetMaskByGearMode; builds a mask of active enemies filtered to Gears, non-Gears, or either form according to the requested mode.
0x8007E438, function start — BattleEnemyScriptBuildPartyTargetMaskForSelectedRow; builds a mask of active party members sharing the formation row of the first entity in a stored target mask.
0x8007E554, function start — BattleEnemyScriptBuildEnemyTargetMaskForSelectedRow; builds a mask of active enemies sharing the formation row of the first entity in a stored target mask.
0x8007E674, function start — BattleEnemyScriptResetEnemyControlState; zeros the acting enemy's indexed 32-bit control accumulator and sets its indexed phase code to 4.
0x8007E6A0, function start — BattleEnemyScriptAddInt32Variables; adds two selected 32-bit script variables and stores the result in a third.
0x8007E6F0, function start — BattleEnemyScriptSubtractInt32Variables; subtracts one selected 32-bit script variable from another and stores the result in a third.
0x8007E740, function start — BattleEnemyScriptMultiplyInt32VariableByImmediate; multiplies a selected 32-bit script variable by an unsigned immediate byte in place.
0x8007E780, function start — BattleEnemyScriptDivideInt32VariableByImmediate; divides a selected 32-bit script variable by an unsigned immediate byte in place.
